time	V(n004)
0.000000000000000e+000	0.000000e+000
7.408928566811875e-005	-4.927691e-001
1.481785713362375e-004	-9.846181e-001
2.222678570043562e-004	-1.475547e+000
2.963571426724750e-004	-1.965556e+000
3.704464283405938e-004	-2.454645e+000
4.445357140087125e-004	-2.942814e+000
5.186249996768311e-004	-3.430063e+000
7.139374996768313e-004	-4.714541e+000
9.092499996768314e-004	-5.969789e+000
1.104562499676832e-003	-7.195807e+000
1.299874999676832e-003	-8.392594e+000
1.495187499676832e-003	-9.560151e+000
1.690499999676832e-003	-1.069848e+001
1.885812499676832e-003	-1.180757e+001
2.192732142533975e-003	-1.347127e+001
2.499651785391118e-003	-1.497908e+001
2.806571428248261e-003	-1.633100e+001
3.113491071105404e-003	-1.752705e+001
3.420410713962548e-003	-1.856721e+001
3.727330356819691e-003	-1.945150e+001
4.034249999676833e-003	-2.017990e+001
4.494629463962546e-003	-2.085821e+001
4.955008928248258e-003	-2.111373e+001
5.415388392533971e-003	-2.094646e+001
5.875767856819684e-003	-2.035640e+001
6.336147321105397e-003	-1.934355e+001
6.796526785391110e-003	-1.790791e+001
7.256906249676821e-003	-1.604948e+001
7.494071428248249e-003	-1.496256e+001
7.731236606819677e-003	-1.380969e+001
7.968401785391105e-003	-1.259087e+001
8.205566963962532e-003	-1.130610e+001
8.442732142533960e-003	-9.955383e+000
8.679897321105388e-003	-8.538716e+000
8.917062499676816e-003	-7.056099e+000
9.042620535391101e-003	-6.261364e+000
9.168178571105386e-003	-5.460034e+000
9.293736606819671e-003	-4.652110e+000
9.419294642533957e-003	-3.837592e+000
9.544852678248242e-003	-3.016481e+000
9.670410713962527e-003	-2.188775e+000
9.795968749676812e-003	-1.354475e+000
9.991281249676812e-003	-5.791958e-002
1.007498660681967e-002	4.990566e-001
1.015869196396253e-002	1.054730e+000
1.024239732110538e-002	1.609100e+000
1.032610267824824e-002	2.162167e+000
1.040980803539110e-002	2.713931e+000
1.049351339253395e-002	3.264392e+000
1.057721874967681e-002	3.813550e+000
1.077253124967681e-002	5.093139e+000
1.096784374967681e-002	6.342147e+000
1.116315624967681e-002	7.560573e+000
1.135846874967681e-002	8.748418e+000
1.155378124967681e-002	9.905682e+000
1.174909374967681e-002	1.103236e+001
1.194440624967681e-002	1.212846e+001
1.226527678539109e-002	1.384265e+001
1.258614732110537e-002	1.538245e+001
1.290701785681966e-002	1.674785e+001
1.322788839253394e-002	1.793887e+001
1.354875892824823e-002	1.895550e+001
1.386962946396251e-002	1.979773e+001
1.419049999967680e-002	2.046558e+001
1.463692857110537e-002	2.098356e+001
1.508335714253395e-002	2.110640e+001
1.552978571396252e-002	2.083409e+001
1.597621428539110e-002	2.016662e+001
1.642264285681967e-002	1.910401e+001
1.686907142824824e-002	1.764625e+001
1.731549999967682e-002	1.579334e+001
1.755266517824825e-002	1.468508e+001
1.778983035681968e-002	1.351265e+001
1.802699553539111e-002	1.227605e+001
1.826416071396254e-002	1.097529e+001
1.850132589253398e-002	9.610356e+000
1.873849107110541e-002	8.181257e+000
1.897565624967684e-002	6.687990e+000
1.910121428539113e-002	5.888539e+000
1.922677232110541e-002	5.083088e+000
1.935233035681970e-002	4.271636e+000
1.947788839253399e-002	3.454184e+000
1.960344642824828e-002	2.630731e+000
1.972900446396256e-002	1.801277e+000
1.985456249967685e-002	9.658221e-001
1.992431696396257e-002	5.021678e-001
1.999407142824828e-002	3.882826e-002
2.006382589253400e-002	-4.241967e-001
2.013358035681971e-002	-8.869069e-001
2.020333482110543e-002	-1.349303e+000
2.027308928539114e-002	-1.811383e+000
2.034284374967686e-002	-2.273150e+000
2.051025446396258e-002	-3.382580e+000
2.067766517824829e-002	-4.475239e+000
2.084507589253401e-002	-5.551127e+000
2.101248660681972e-002	-6.610243e+000
2.117989732110544e-002	-7.652588e+000
2.134730803539116e-002	-8.678161e+000
2.151471874967688e-002	-9.686963e+000
2.179373660681973e-002	-1.132133e+001
2.207275446396260e-002	-1.284215e+001
2.235177232110546e-002	-1.424942e+001
2.263079017824832e-002	-1.554314e+001
2.290980803539118e-002	-1.672331e+001
2.318882589253404e-002	-1.778994e+001
2.346784374967690e-002	-1.874301e+001
2.399797767824834e-002	-2.010035e+001
2.452811160681977e-002	-2.089283e+001
2.505824553539121e-002	-2.112047e+001
2.558837946396265e-002	-2.078326e+001
2.611851339253409e-002	-1.988120e+001
2.664864732110552e-002	-1.841429e+001
2.717878124967696e-002	-1.638253e+001
2.741594642824839e-002	-1.532463e+001
2.765311160681982e-002	-1.419845e+001
2.789027678539125e-002	-1.300397e+001
2.812744196396268e-002	-1.174121e+001
2.836460714253412e-002	-1.041015e+001
2.860177232110555e-002	-9.010807e+000
2.883893749967698e-002	-7.543171e+000
2.897844642824841e-002	-6.666078e+000
2.911795535681984e-002	-5.780482e+000
2.925746428539127e-002	-4.886384e+000
2.939697321396270e-002	-3.983784e+000
2.953648214253413e-002	-3.072681e+000
2.967599107110556e-002	-2.153076e+000
2.981549999967699e-002	-1.224969e+000
3.020612499967700e-002	1.368356e+000
3.035958482110557e-002	2.389467e+000
3.051304464253414e-002	3.399236e+000
3.066650446396272e-002	4.397665e+000
3.081996428539129e-002	5.384753e+000
3.097342410681987e-002	6.360500e+000
3.112688392824844e-002	7.324905e+000
3.128034374967701e-002	8.277969e+000
3.154541071396273e-002	9.891797e+000
3.181047767824845e-002	1.141263e+001
3.207554464253416e-002	1.284046e+001
3.234061160681988e-002	1.417529e+001
3.260567857110560e-002	1.541713e+001
3.287074553539132e-002	1.656597e+001
3.313581249967704e-002	1.762181e+001
3.372174999967705e-002	1.947145e+001
3.430768749967705e-002	2.063367e+001
3.489362499967706e-002	2.110849e+001
3.547956249967707e-002	2.089590e+001
3.606549999967708e-002	1.999589e+001
3.665143749967709e-002	1.840848e+001
3.723737499967710e-002	1.613366e+001
3.747454017824853e-002	1.505393e+001
3.771170535681996e-002	1.390767e+001
3.794887053539139e-002	1.269487e+001
3.818603571396282e-002	1.141553e+001
3.842320089253425e-002	1.006965e+001
3.866036607110569e-002	8.657232e+000
3.889753124967712e-002	7.178277e+000
3.903704017824855e-002	6.295580e+000
3.917654910681998e-002	5.405110e+000
3.931605803539141e-002	4.506870e+000
3.945556696396284e-002	3.600857e+000
3.959507589253427e-002	2.687074e+000
3.973458482110570e-002	1.765518e+000
3.987409374967713e-002	8.361918e-001
4.026471874967714e-002	-1.756531e+000
4.041817857110571e-002	-2.775781e+000
4.057163839253428e-002	-3.782814e+000
4.072509821396286e-002	-4.777630e+000
4.087855803539144e-002	-5.760230e+000
4.103201785682001e-002	-6.730612e+000
4.118547767824858e-002	-7.688778e+000
4.133893749967715e-002	-8.634727e+000
4.160400446396287e-002	-1.023403e+001
4.186907142824859e-002	-1.173828e+001
4.213413839253431e-002	-1.314750e+001
4.239920535682003e-002	-1.446168e+001
4.266427232110574e-002	-1.568081e+001
4.292933928539146e-002	-1.680491e+001
4.319440624967718e-002	-1.783396e+001
4.376639285682005e-002	-1.958338e+001
4.433837946396291e-002	-2.067663e+001
4.491036607110577e-002	-2.111369e+001
4.548235267824864e-002	-2.089458e+001
4.605433928539151e-002	-2.001929e+001
4.662632589253437e-002	-1.848783e+001
4.719831249967724e-002	-1.630018e+001
4.743547767824867e-002	-1.523497e+001
4.767264285682010e-002	-1.410205e+001
4.790980803539154e-002	-1.290142e+001
4.814697321396296e-002	-1.163308e+001
4.838413839253439e-002	-1.029704e+001
4.862130357110583e-002	-8.893282e+000
4.885846874967726e-002	-7.421818e+000
4.899797767824869e-002	-6.542823e+000
4.913748660682012e-002	-5.655570e+000
4.927699553539156e-002	-4.760057e+000
4.941650446396298e-002	-3.856285e+000
4.955601339253441e-002	-2.944255e+000
